insertion_id,license_plate,category,color,timestamp,gate,zone,description
6036186,-,pedestrian,undefined,2025-01-24 04:38:18.48+00,ganajan_car_in,50,ZONE 2 - Table
6036210,-,pedestrian,undefined,2025-01-24 04:39:08.88+00,ganajan_car_in,50,ZONE 2 - Table
6036215,-,pedestrian,undefined,2025-01-24 04:39:09.04+00,ganajan_car_in,50,ZONE 2 - Table
6036225,-,pedestrian,undefined,2025-01-24 04:39:25.48+00,ganajan_car_in,50,ZONE 2 - Table
6036228,MH14CB786,car,white,2025-01-24 04:39:43.363+00,ganajan_car_in,50,ZONE 2 - Table
6036229,-,car,white,2025-01-24 04:39:45.24+00,ganajan_car_in,50,ZONE 2 - Table
6036234,ZUE3291,car,white,2025-01-24 04:39:50.08+00,ganajan_car_in,50,ZONE 2 - Table
6036239,MH20GK4699,car,white,2025-01-24 04:39:57.2+00,ganajan_car_in,50,ZONE 2 - Table
6036250,53450,car,red,2025-01-24 04:40:09.88+00,ganajan_car_in,50,ZONE 2 - Table
6036270,MH31EA8084,car,white,2025-01-24 04:40:22.88+00,ganajan_car_in,50,ZONE 2 - Table
6036275,MH30AZ4558,car,white,2025-01-24 04:40:26.88+00,ganajan_car_in,50,ZONE 2 - Table
6036279,-,pedestrian,undefined,2025-01-24 04:40:29.44+00,ganajan_car_in,50,ZONE 2 - Table
6036292,MH27BZ6180,car,white,2025-01-24 04:40:47.32+00,ganajan_car_in,50,ZONE 2 - Table
6036294,-,pedestrian,undefined,2025-01-24 04:48:29.8+00,ganajan_car_in,50,ZONE 2 - Table
6036298,-,pedestrian,undefined,2025-01-24 04:40:58+00,ganajan_car_in,50,ZONE 2 - Table
6036299,-,pedestrian,undefined,2025-01-24 04:40:58.28+00,ganajan_car_in,50,ZONE 2 - Table
6036326,-,bicycle,undefined,2025-01-24 04:41:42.4+00,ganajan_car_in,50,ZONE 2 - Table
6036327,-,pedestrian,undefined,2025-01-24 04:41:53.84+00,ganajan_car_in,50,ZONE 2 - Table
6036332,-,pedestrian,undefined,2025-01-24 04:42:16.76+00,ganajan_car_in,50,ZONE 2 - Table
6036335,MH14BK1757,car,white,2025-01-24 04:42:43.84+00,ganajan_car_in,50,ZONE 2 - Table
6036342,-,pedestrian,undefined,2025-01-24 04:42:49.96+00,ganajan_car_in,50,ZONE 2 - Table
6036343,41A444,motorcycle,undefined,2025-01-24 04:42:58.96+00,ganajan_car_in,50,ZONE 2 - Table
6036344,-,pedestrian,undefined,2025-01-24 04:42:53.92+00,ganajan_car_in,50,ZONE 2 - Table
6036354,MH40BE3884,car,white,2025-01-24 04:43:10.76+00,ganajan_car_in,50,ZONE 2 - Table
6036364,-,pedestrian,undefined,2025-01-24 04:43:19.04+00,ganajan_car_in,50,ZONE 2 - Table
6036404,-,pedestrian,undefined,2025-01-24 04:44:08.76+00,ganajan_car_in,50,ZONE 2 - Table
6036410,MH34AM8821,car,white,2025-01-24 04:44:20.32+00,ganajan_car_in,50,ZONE 2 - Table
6036418,-,pedestrian,undefined,2025-01-24 04:44:33.32+00,ganajan_car_in,50,ZONE 2 - Table
6036420,MH30AA7533,car,white,2025-01-24 04:44:33+00,ganajan_car_in,50,ZONE 2 - Table
6036427,MH30BL7732,car,white,2025-01-24 04:44:52.68+00,ganajan_car_in,50,ZONE 2 - Table
6036439,-,pedestrian,undefined,2025-01-24 04:45:18.16+00,ganajan_car_in,50,ZONE 2 - Table
6036443,-,pedestrian,undefined,2025-01-24 04:45:19.36+00,ganajan_car_in,50,ZONE 2 - Table
6036445,-,pedestrian,undefined,2025-01-24 04:45:15.24+00,ganajan_car_in,50,ZONE 2 - Table
6036449,-,pedestrian,undefined,2025-01-24 04:45:20.6+00,ganajan_car_in,50,ZONE 2 - Table
6036457,-,pedestrian,undefined,2025-01-24 04:45:26.24+00,ganajan_car_in,50,ZONE 2 - Table
6036471,-,pedestrian,undefined,2025-01-24 04:45:37.08+00,ganajan_car_in,50,ZONE 2 - Table
6036473,-,pedestrian,undefined,2025-01-24 04:45:38.76+00,ganajan_car_in,50,ZONE 2 - Table
6036499,-,pedestrian,undefined,2025-01-24 04:46:03.08+00,ganajan_car_in,50,ZONE 2 - Table
6036501,-,pedestrian,undefined,2025-01-24 04:46:03.24+00,ganajan_car_in,50,ZONE 2 - Table
6036512,-,pedestrian,undefined,2025-01-24 04:46:30.48+00,ganajan_car_in,50,ZONE 2 - Table
6036513,-,pedestrian,undefined,2025-01-24 04:46:25.2+00,ganajan_car_in,50,ZONE 2 - Table
6036516,-,pedestrian,undefined,2025-01-24 04:46:26.12+00,ganajan_car_in,50,ZONE 2 - Table
6036523,-,pedestrian,undefined,2025-01-24 04:47:02.52+00,ganajan_car_in,50,ZONE 2 - Table
6036524,-,pedestrian,undefined,2025-01-24 04:47:02.92+00,ganajan_car_in,50,ZONE 2 - Table
6036530,-,pedestrian,undefined,2025-01-24 04:47:01.92+00,ganajan_car_in,50,ZONE 2 - Table
6036533,-,pedestrian,undefined,2025-01-24 04:47:21.12+00,ganajan_car_in,50,ZONE 2 - Table
6036534,-,motorcycle,undefined,2025-01-24 04:47:14.92+00,ganajan_car_in,50,ZONE 2 - Table
6036537,MH43X7,car,white,2025-01-24 04:47:44.23+00,ganajan_car_in,50,ZONE 2 - Table
6036538,MH03DX9702,car,black,2025-01-24 04:47:48.4+00,ganajan_car_in,50,ZONE 2 - Table
6036552,-,pedestrian,undefined,2025-01-24 04:48:22+00,ganajan_car_in,50,ZONE 2 - Table
6036556,-,pedestrian,undefined,2025-01-24 04:48:26.36+00,ganajan_car_in,50,ZONE 2 - Table
6036562,-,pedestrian,undefined,2025-01-24 04:48:23.56+00,ganajan_car_in,50,ZONE 2 - Table
6036564,-,pedestrian,undefined,2025-01-24 04:48:51.12+00,ganajan_car_in,50,ZONE 2 - Table
6036569,-,bicycle,undefined,2025-01-24 04:49:09.52+00,ganajan_car_in,50,ZONE 2 - Table
6036570,GJ19BA1160,car,black,2025-01-24 04:49:17.48+00,ganajan_car_in,50,ZONE 2 - Table
6036573,-,pedestrian,undefined,2025-01-24 04:51:10.52+00,ganajan_car_in,50,ZONE 2 - Table
6036584,-,pedestrian,undefined,2025-01-24 04:49:36.48+00,ganajan_car_in,50,ZONE 2 - Table
6036591,-,pedestrian,undefined,2025-01-24 04:49:48.82+00,ganajan_car_in,50,ZONE 2 - Table
6036601,-,pedestrian,undefined,2025-01-24 04:50:02.36+00,ganajan_car_in,50,ZONE 2 - Table
6036602,MH40CH7865,car,white,2025-01-24 04:50:05.44+00,ganajan_car_in,50,ZONE 2 - Table
6036610,-,pedestrian,undefined,2025-01-24 04:50:17+00,ganajan_car_in,50,ZONE 2 - Table
6036612,-,motorcycle,undefined,2025-01-24 04:50:13.52+00,ganajan_car_in,50,ZONE 2 - Table
6036615,-,motorcycle,undefined,2025-01-24 04:50:52.04+00,ganajan_car_in,50,ZONE 2 - Table
6036616,-,pedestrian,undefined,2025-01-24 04:50:59.68+00,ganajan_car_in,50,ZONE 2 - Table
6036619,MH26AK0021,car,black,2025-01-24 04:51:11.28+00,ganajan_car_in,50,ZONE 2 - Table
6036639,-,pedestrian,undefined,2025-01-24 04:51:14.32+00,ganajan_car_in,50,ZONE 2 - Table
6036649,-,pedestrian,undefined,2025-01-24 04:51:26.32+00,ganajan_car_in,50,ZONE 2 - Table
